일시,동대문구,승차총승객수,하차총승객수
20180101,0.368,58590.0,56703.0
20180102,0.614,108956.0,111200.0
20180103,0.576,108759.0,111695.0
20180104,0.542,109524.0,112351.0
20180105,0.602,117646.0,121570.0
20180106,0.522,99403.0,101909.0
20180107,0.478,72049.0,72381.0
20180108,0.528,112422.0,115466.0
20180109,0.488,107949.0,110724.0
20180110,0.406,106237.0,108507.0
20180111,0.346,99933.0,102075.0
20180112,0.318,102296.0,105447.0
20180113,0.296,97596.0,100987.0
20180114,0.414,75128.0,74986.0
20180115,0.52,113714.0,116569.0
20180116,0.63,110841.0,113789.0
20180117,0.59,113542.0,116860.0
20180118,0.638,113302.0,116316.0
20180119,0.634,121472.0,125260.0
20180120,0.486,104045.0,107151.0
20180121,0.448,77036.0,77201.0
20180122,0.396,114195.0,117091.0
20180123,0.386,100376.0,102703.0
20180124,0.302,95006.0,96773.0
20180125,0.306,97937.0,99994.0
20180126,0.29,100357.0,102357.0
20180127,0.278,88754.0,90508.0
20180128,0.294,71150.0,71723.0
20180129,0.366,104709.0,106971.0
20180130,0.288,117301.0,118182.0
20180131,0.338,115066.0,118158.0
20180201,0.43,117427.0,120727.0
20180202,0.47,124089.0,128262.0
20180203,0.312,99353.0,102471.0
20180204,0.244,69020.0,69213.0
20180205,0.362,106089.0,108462.0
20180206,0.342,105803.0,108314.0
20180207,0.43,112444.0,115422.0
20180208,0.476,121558.0,125485.0
20180209,0.48,125234.0,129273.0
20180210,0.4,107324.0,110319.0
20180211,0.28,75513.0,75501.0
20180212,0.46,116329.0,119221.0
20180213,0.52,120221.0,124197.0
20180214,0.55,117049.0,122578.0
20180215,0.332,57232.0,58755.0
20180216,0.244,43388.0,43234.0
20180217,0.298,58718.0,57936.0
20180218,0.368,66592.0,65319.0
20180219,0.628,108543.0,110072.0
20180220,0.74,113465.0,115747.0
20180221,0.664,115445.0,116415.0
20180222,0.614,116149.0,117983.0
20180223,0.466,119854.0,121995.0
20180224,0.624,105922.0,107131.0
20180225,0.588,77540.0,77113.0
20180226,0.828,116329.0,117682.0
20180227,0.756,112500.0,115197.0
20180228,0.354,111199.0,113582.0
20180301,0.474,81846.0,84152.0
20180302,0.75,113559.0,116121.0
20180303,1.04,100710.0,103599.0
20180304,0.446,70110.0,70713.0
20180305,0.746,113744.0,116859.0
20180306,1.032,118933.0,122040.0
20180307,0.938,117932.0,121319.0
20180308,0.688,114750.0,116681.0
20180309,0.998,123397.0,126598.0
20180310,1.004,106775.0,109360.0
20180311,1.018,80338.0,81314.0
20180312,1.244,116564.0,119200.0
20180313,1.462,117488.0,120387.0
20180314,1.838,118623.0,121607.0
20180315,0.6,109563.0,111408.0
20180316,1.414,124979.0,127529.0
20180317,1.326,108657.0,110940.0
20180318,0.922,82827.0,82115.0
20180319,0.848,112186.0,114056.0
20180320,1.094,117320.0,120197.0
20180321,0.724,112134.0,114874.0
20180322,1.274,120209.0,123119.0
20180323,1.368,126579.0,129440.0
20180324,1.168,108814.0,112102.0
20180325,1.036,80143.0,80994.0
20180326,1.242,116635.0,119466.0
20180327,1.53,117680.0,120684.0
20180328,1.718,119969.0,122933.0
20180329,1.79,120206.0,122637.0
20180330,1.886,126556.0,129627.0
20180331,1.852,106548.0,109274.0
20180401,1.66,76235.0,77693.0
20180402,2.186,117509.0,119953.0
20180403,2.08,118028.0,120863.0
20180404,1.952,116483.0,119257.0
20180405,0.244,110338.0,112632.0
20180406,1.032,122997.0,126243.0
20180407,1.036,103263.0,106192.0
20180408,0.616,75929.0,76858.0
20180409,1.798,116564.0,119510.0
20180410,1.564,118424.0,122564.0
20180411,1.968,118760.0,121521.0
20180412,2.152,120511.0,123131.0
20180413,2.092,124582.0,127783.0
20180414,0.674,92385.0,94507.0
20180415,0.912,82298.0,82741.0
20180416,2.156,118033.0,121023.0
20180417,2.264,120020.0,122893.0
20180418,1.98,119113.0,122166.0
20180419,1.472,118662.0,121847.0
20180420,2.008,122581.0,126513.0
20180421,2.214,106993.0,110791.0
20180422,0.606,72293.0,72188.0
20180423,0.086,101308.0,102936.0
20180424,1.864,115956.0,118855.0
20180425,2.368,122598.0,126004.0
20180426,2.426,121315.0,124330.0
20180427,2.38,123432.0,126962.0
20180428,2.112,108647.0,111219.0
20180429,2.164,81304.0,82179.0
20180430,2.328,118769.0,121809.0
20180501,2.476,99634.0,102537.0
20180502,0.664,111189.0,113837.0
20180503,1.936,119817.0,122512.0
20180504,2.422,130189.0,134536.0
20180505,2.266,97282.0,101077.0
20180506,1.12,67898.0,67648.0
20180507,2.394,89604.0,90697.0
20180508,2.486,118335.0,121344.0
20180509,2.732,120197.0,123213.0
20180510,2.756,120872.0,123708.0
20180511,2.634,126269.0,129084.0
20180512,0.314,99154.0,101743.0
20180513,2.186,83114.0,83528.0
20180514,2.754,118883.0,122134.0
20180515,2.69,120530.0,123776.0
20180516,0.656,105309.0,108024.0
20180517,0.342,110196.0,111861.0
20180518,1.39,122750.0,126395.0
20180519,2.786,112062.0,115564.0
20180520,2.314,83267.0,84090.0
20180521,2.842,117943.0,121265.0
20180522,1.25,85738.0,88037.0
20180523,2.526,118909.0,121529.0
20180524,2.77,119645.0,121947.0
20180525,2.632,125207.0,128309.0
20180526,2.55,107857.0,110377.0
20180527,2.418,79933.0,80640.0
20180528,2.956,117081.0,119386.0
20180529,2.464,116338.0,119364.0
20180530,2.69,117293.0,120587.0
20180531,2.994,117608.0,120022.0
20180601,2.85,122106.0,125039.0
20180602,2.618,103521.0,105769.0
20180603,2.472,77156.0,77679.0
20180604,3.168,115017.0,117771.0
20180605,3.162,118356.0,121914.0
20180606,2.518,84414.0,86083.0
20180607,3.044,116469.0,118673.0
20180608,3.176,121766.0,125089.0
20180609,2.426,101370.0,104043.0
20180610,2.514,75385.0,75380.0
20180611,2.464,113785.0,116570.0
20180612,3.194,116936.0,119769.0
20180613,3.358,84045.0,85791.0
20180614,2.08,113219.0,115291.0
20180615,3.132,122671.0,126319.0
20180616,2.954,102742.0,105460.0
20180617,2.888,76209.0,76006.0
20180618,2.686,113612.0,115934.0
20180619,3.38,115057.0,117283.0
20180620,3.394,116719.0,119428.0
20180621,3.508,118398.0,120371.0
20180622,3.228,121417.0,125168.0
20180623,3.088,103927.0,106127.0
20180624,2.58,74928.0,75138.0
20180625,3.314,115283.0,117451.0
20180626,0.502,99329.0,101230.0
20180627,2.754,115439.0,117858.0
20180628,2.138,113930.0,116381.0
20180629,2.772,120560.0,123524.0
20180630,2.01,96533.0,99616.0
20180701,0.31,57844.0,57492.0
20180702,0.318,103931.0,105672.0
20180703,2.778,112811.0,115168.0
20180704,3.104,113455.0,115735.0
20180705,2.856,114016.0,116775.0
20180706,3.444,122059.0,125488.0
20180707,3.01,103558.0,106733.0
20180708,2.99,78172.0,77629.0
20180709,0.562,107818.0,110005.0
20180710,1.826,112820.0,116299.0
20180711,2.386,112639.0,115494.0
20180712,3.014,115024.0,118100.0
20180713,3.036,119935.0,124039.0
20180714,2.622,100337.0,103156.0
20180715,2.306,74913.0,74221.0
20180716,2.962,109836.0,111677.0
20180717,3.042,110818.0,112988.0
20180718,3.08,110481.0,112992.0
20180719,3.154,110919.0,113072.0
20180720,2.934,115677.0,119291.0
20180721,2.346,94166.0,96623.0
20180722,1.852,70476.0,69892.0
20180723,2.696,108467.0,110700.0
20180724,2.66,106351.0,108666.0
20180725,2.714,110492.0,113888.0
20180726,2.618,110967.0,113582.0
20180727,2.356,113559.0,117626.0
20180728,1.808,88757.0,92195.0
20180729,1.95,70970.0,70639.0
20180730,2.568,105725.0,107671.0
20180731,2.412,103921.0,106434.0
20180801,2.236,101082.0,104396.0
20180802,2.194,100481.0,102810.0
20180803,2.262,104513.0,107684.0
20180804,1.856,86809.0,88553.0
20180805,1.744,68304.0,66276.0
20180806,2.246,100821.0,102859.0
20180807,2.606,103375.0,106320.0
20180808,2.57,104862.0,106868.0
20180809,2.124,105198.0,108030.0
20180810,2.57,111795.0,116037.0
20180811,2.28,93271.0,96501.0
20180812,1.84,71694.0,71175.0
20180813,2.538,106328.0,108651.0
20180814,2.766,108545.0,112200.0
20180815,1.864,79365.0,81018.0
20180816,2.99,108327.0,110283.0
20180817,3.232,114775.0,118182.0
20180818,2.842,96506.0,99307.0
20180819,2.84,74202.0,73428.0
20180820,3.124,110604.0,112873.0
20180821,3.11,109740.0,112677.0
20180822,3.134,113719.0,116474.0
20180823,1.656,103262.0,105921.0
20180824,1.122,102565.0,105259.0
20180825,3.19,101875.0,105420.0
20180826,2.09,73402.0,73302.0
20180827,1.688,106346.0,108616.0
20180828,1.05,106476.0,109242.0
20180829,0.88,105857.0,108389.0
20180830,1.918,112121.0,114397.0
20180831,3.156,121139.0,124828.0
20180901,2.99,104050.0,107242.0
20180902,3.178,77621.0,78655.0
20180903,1.374,109196.0,111796.0
20180904,3.502,118186.0,121275.0
20180905,3.898,119574.0,122766.0
20180906,3.44,119651.0,122741.0
20180907,3.81,124723.0,128414.0
20180908,3.566,110903.0,114787.0
20180909,3.468,82372.0,83233.0
20180910,3.962,118795.0,121821.0
20180911,3.99,120829.0,124524.0
20180912,3.962,121451.0,125094.0
20180913,4.006,122650.0,125931.0
20180914,3.646,126019.0,129745.0
20180915,3.066,107517.0,110236.0
20180916,1.716,80972.0,81682.0
20180917,3.962,124101.0,128279.0
20180918,4.21,123865.0,128768.0
20180919,3.488,125732.0,130514.0
20180920,2.02,122538.0,125900.0
20180921,2.35,128995.0,133746.0
20180922,2.964,100247.0,105677.0
20180923,2.286,60418.0,63423.0
20180924,1.9,46986.0,47042.0
20180925,2.586,62099.0,60126.0
20180926,3.214,71982.0,72354.0
20180927,4.18,110757.0,113091.0
20180928,4.194,117613.0,121108.0
20180929,3.752,100260.0,102846.0
20180930,3.676,75458.0,76315.0
20181001,3.948,114262.0,117263.0
20181002,3.944,118545.0,121247.0
20181003,3.982,88292.0,90599.0
20181004,3.996,117606.0,120189.0
20181005,0.552,113010.0,115845.0
20181006,2.004,89598.0,91246.0
20181007,3.748,83712.0,84297.0
20181008,3.908,118204.0,121084.0
20181009,3.882,87195.0,88795.0
20181010,3.28,116549.0,118926.0
20181011,3.432,117559.0,119475.0
20181012,3.306,122990.0,126712.0
20181013,3.274,108074.0,110625.0
20181014,3.042,82500.0,81912.0
20181015,3.606,115405.0,118035.0
20181016,3.616,117574.0,120580.0
20181017,3.624,118171.0,121278.0
20181018,3.642,120731.0,123165.0
20181019,3.7,123566.0,126615.0
20181020,3.452,108700.0,111020.0
20181021,2.99,82394.0,82813.0
20181022,3.63,116912.0,119508.0
20181023,2.846,112338.0,115448.0
20181024,3.5,118759.0,121467.0
20181025,3.728,121639.0,124632.0
20181026,1.976,116914.0,119591.0
20181027,2.436,113018.0,115295.0
20181028,1.408,76804.0,77745.0
20181029,2.718,116691.0,119213.0
20181030,2.882,117006.0,120114.0
20181031,2.97,119839.0,122378.0
20181101,3.046,119198.0,122037.0
20181102,3.302,125277.0,128283.0
20181103,2.89,111073.0,113708.0
20181104,2.82,81327.0,81970.0
20181105,3.282,116642.0,119154.0
20181106,3.048,116808.0,119601.0
20181107,2.364,114175.0,116686.0
20181108,0.24,106817.0,108069.0
20181109,2.554,124263.0,127415.0
20181110,2.4,107478.0,110238.0
20181111,1.902,77532.0,78505.0
20181112,2.97,116565.0,118825.0
20181113,3.13,117819.0,120649.0
20181114,3.278,117815.0,120948.0
20181115,2.902,118218.0,120980.0
20181116,2.974,124234.0,126898.0
20181117,2.056,106441.0,109018.0
20181118,1.956,77713.0,79098.0
20181119,2.77,114879.0,117392.0
20181120,2.688,116954.0,119316.0
20181121,2.14,114011.0,116786.0
20181122,2.26,118101.0,120530.0
20181123,2.17,122267.0,125002.0
20181124,0.702,100101.0,102258.0
20181125,1.4,78972.0,79667.0
20181126,2.472,115351.0,118199.0
20181127,2.218,114096.0,116354.0
20181128,2.304,117267.0,119528.0
20181129,2.21,116651.0,119187.0
20181130,2.206,122536.0,125485.0
20181201,1.746,106505.0,109197.0
20181202,1.612,77849.0,78422.0
20181203,0.682,106622.0,108490.0
20181204,1.52,114719.0,117169.0
20181205,1.878,115679.0,117775.0
20181206,1.81,118593.0,121144.0
20181207,1.188,116101.0,118562.0
20181208,0.83,94569.0,96625.0
20181209,0.698,68964.0,69180.0
20181210,1.364,112267.0,114119.0
20181211,1.522,114808.0,117187.0
20181212,1.482,117443.0,119921.0
20181213,0.964,115367.0,117526.0
20181214,1.176,121252.0,123780.0
20181215,1.108,108404.0,110567.0
20181216,0.942,76240.0,76158.0
20181217,1.324,116623.0,118747.0
20181218,1.62,117639.0,119764.0
20181219,1.634,118538.0,121606.0
20181220,1.744,125693.0,128071.0
20181221,1.674,128213.0,130303.0
20181222,1.312,108694.0,111328.0
20181223,1.09,80684.0,80636.0
20181224,1.068,116265.0,118157.0
20181225,0.93,81483.0,82806.0
20181226,1.274,118739.0,121304.0
20181227,0.768,107311.0,109324.0
20181228,0.712,111135.0,112992.0
20181229,0.59,92596.0,94780.0
20181230,0.56,70929.0,71801.0
20181231,0.828,111223.0,116001.0
20190101,0.618,55708.0,54097.0
20190102,1.066,108425.0,109952.0
20190103,1.232,112841.0,114967.0
20190104,1.202,118767.0,121863.0
20190105,0.912,97997.0,100928.0
20190106,0.87,73883.0,74189.0
20190107,1.164,113374.0,115231.0
20190108,1.07,113032.0,115602.0
20190109,1.062,108145.0,110431.0
20190110,1.22,114452.0,117231.0
20190111,1.356,120899.0,124214.0
20190112,1.054,102902.0,106437.0
20190113,0.862,75601.0,75586.0
20190114,1.064,109185.0,111459.0
20190115,1.046,111490.0,114418.0
20190116,1.068,111717.0,114257.0
20190117,1.244,118053.0,120339.0
20190118,1.36,122905.0,126621.0
20190119,1.016,103421.0,106075.0
20190120,0.818,77119.0,77126.0
20190121,1.28,112647.0,114880.0
20190122,1.408,118524.0,121368.0
20190123,1.244,119052.0,121583.0
20190124,1.394,119596.0,122123.0
20190125,1.29,125727.0,129155.0
20190126,0.974,106047.0,109229.0
20190127,0.956,80601.0,80370.0
20190128,1.22,118870.0,121806.0
20190129,1.484,120282.0,123595.0
20190130,1.402,122325.0,125614.0
20190131,1.332,119953.0,123601.0
20190201,1.214,122310.0,126755.0
20190202,0.966,96640.0,102578.0
20190203,0.182,58611.0,61237.0
20190204,0.646,54179.0,56350.0
20190205,0.602,44111.0,43054.0
20190206,0.854,57691.0,57194.0
20190207,0.944,103807.0,105177.0
20190208,0.988,109908.0,111691.0
20190209,0.862,95171.0,97969.0
20190210,0.712,69692.0,69576.0
20190211,1.202,112976.0,114749.0
20190212,1.32,114568.0,116450.0
20190213,1.302,115159.0,117673.0
20190214,1.268,116949.0,119114.0
20190215,0.664,119126.0,121446.0
20190216,0.994,106185.0,108721.0
20190217,0.914,78928.0,79273.0
20190218,1.478,113722.0,115699.0
20190219,0.918,106520.0,107881.0
20190220,1.45,116196.0,119178.0
20190221,1.52,117338.0,119507.0
20190222,1.468,123848.0,125601.0
20190223,1.672,109613.0,111826.0
20190224,1.418,81090.0,81228.0
20190225,1.648,116402.0,118029.0
20190226,1.896,116761.0,119079.0
20190227,2.004,118040.0,120712.0
20190228,1.888,120367.0,124331.0
20190301,1.512,96257.0,99522.0
20190302,1.648,98481.0,99526.0
20190303,1.666,77277.0,77072.0
20190304,2.096,113757.0,116112.0
20190305,1.9,113506.0,115758.0
20190306,2.092,114779.0,116839.0
20190307,2.246,120480.0,122905.0
20190308,2.206,127296.0,129767.0
20190309,2.164,109221.0,111866.0
20190310,1.888,77928.0,79286.0
20190311,2.256,117974.0,120671.0
20190312,1.898,114482.0,116501.0
20190313,2.04,116983.0,118687.0
20190314,2.24,119971.0,121293.0
20190315,1.568,124204.0,125764.0
20190316,1.872,107407.0,109514.0
20190317,2.314,85856.0,85089.0
20190318,2.686,117967.0,120420.0
20190319,3.138,119060.0,121274.0
20190320,1.24,115552.0,117926.0
20190321,1.944,118099.0,120413.0
20190322,2.498,126034.0,127871.0
20190323,1.632,100973.0,102826.0
20190324,2.072,79202.0,80180.0
20190325,2.55,116340.0,118737.0
20190326,3.016,118480.0,121132.0
20190327,2.692,117435.0,120064.0
20190328,2.948,120191.0,122219.0
20190329,2.966,126591.0,128560.0
20190330,0.9,98851.0,100995.0
20190331,1.54,76224.0,76972.0
20190401,2.754,115937.0,118035.0
20190402,2.894,117395.0,120080.0
20190403,2.932,118385.0,120835.0
20190404,3.18,118885.0,120202.0
20190405,2.996,123733.0,126307.0
20190406,1.726,100013.0,102133.0
20190407,3.206,80655.0,82348.0
20190408,3.686,117002.0,119577.0
20190409,1.85,112925.0,115813.0
20190410,1.894,111917.0,113835.0
20190411,3.45,121715.0,124032.0
20190412,3.768,126380.0,128711.0
20190413,3.464,108462.0,110840.0
20190414,1.942,69842.0,70528.0
20190415,3.79,116737.0,118694.0
20190416,4.214,117894.0,120078.0
20190417,4.154,118938.0,121036.0
20190418,3.58,115780.0,116641.0
20190419,4.242,122403.0,124781.0
20190420,3.438,106121.0,107456.0
20190421,3.328,77487.0,77161.0
20190422,4.284,116492.0,118138.0
20190423,4.14,114776.0,116263.0
20190424,3.92,116761.0,119014.0
20190425,1.724,114584.0,116155.0
20190426,1.992,121312.0,123189.0
20190427,3.9,110999.0,113072.0
20190428,3.332,80115.0,80557.0
20190429,4.592,118002.0,120207.0
20190430,4.81,122048.0,124560.0
20190501,5.236,102969.0,105061.0
20190502,4.912,120928.0,122036.0
20190503,4.876,128206.0,128531.0
20190504,4.258,109272.0,112319.0
20190505,4.116,81389.0,80991.0
20190506,4.368,85972.0,87383.0
20190507,5.046,117383.0,119236.0
20190508,5.196,117013.0,119125.0
20190509,5.116,118787.0,120285.0
20190510,5.334,124603.0,125953.0
20190511,4.824,108740.0,109281.0
20190512,4.548,81778.0,81486.0
20190513,5.056,114816.0,116714.0
20190514,5.802,117871.0,119780.0
20190515,5.646,119820.0,121830.0
20190516,5.444,118139.0,119673.0
20190517,5.708,123540.0,124531.0
20190518,5.176,106163.0,106831.0
20190519,0.814,69246.0,69236.0
20190520,5.22,116981.0,118807.0
20190521,5.832,117340.0,119275.0
20190522,5.806,117730.0,119155.0
20190523,5.674,119025.0,119869.0
20190524,5.514,123534.0,124557.0
20190525,4.802,105874.0,107046.0
20190526,4.718,78950.0,79307.0
20190527,2.08,105411.0,106642.0
20190528,5.956,119023.0,120841.0
20190529,5.828,118485.0,120057.0
20190530,5.272,117668.0,119437.0
20190531,5.874,124603.0,126598.0
20190601,5.204,106860.0,108497.0
20190602,4.968,78601.0,78433.0
20190603,6.05,114468.0,116703.0
20190604,6.24,115036.0,116954.0
20190605,5.802,120350.0,122199.0
20190606,2.736,83662.0,85868.0
20190607,3.578,110295.0,111753.0
20190608,5.308,102193.0,103828.0
20190609,4.28,73167.0,72359.0
20190610,4.62,112008.0,113976.0
20190611,6.126,115320.0,117155.0
20190612,6.28,115246.0,117276.0
20190613,6.138,116329.0,118003.0
20190614,5.974,121359.0,123309.0
20190615,4.844,104263.0,106090.0
20190616,5.32,75664.0,75785.0
20190617,6.242,113120.0,114862.0
20190618,3.134,111373.0,113163.0
20190619,5.574,114044.0,116136.0
20190620,6.154,118481.0,119989.0
20190621,5.616,121506.0,122844.0
20190622,5.602,105736.0,106450.0
20190623,4.886,77527.0,76952.0
20190624,6.17,113335.0,114930.0
20190625,6.514,114912.0,117063.0
20190626,5.772,115926.0,118200.0
20190627,5.8,113849.0,115640.0
20190628,5.52,120814.0,122883.0
20190629,4.202,97927.0,99651.0
20190630,5.112,74968.0,74284.0
20190701,6.796,112259.0,113524.0
20190702,6.758,113462.0,115167.0
20190703,6.71,113583.0,115886.0
20190704,6.594,113661.0,115124.0
20190705,5.834,118292.0,120332.0
20190706,4.916,96686.0,98423.0
20190707,5.204,74288.0,74217.0
20190708,6.652,111903.0,113390.0
20190709,6.834,113838.0,115796.0
20190710,3.514,114350.0,116544.0
20190711,4.404,114481.0,116358.0
20190712,6.5,121215.0,123321.0
20190713,5.35,99857.0,101503.0
20190714,5.004,75392.0,74474.0
20190715,4.35,107893.0,109280.0
20190716,5.854,111408.0,113095.0
20190717,5.916,113350.0,114664.0
20190718,5.98,113932.0,115875.0
20190719,5.758,118814.0,121029.0
20190720,3.774,94424.0,96222.0
20190721,3.09,70262.0,69684.0
20190722,6.072,110950.0,112159.0
20190723,5.868,109250.0,110909.0
20190724,4.574,108670.0,110189.0
20190725,2.776,107558.0,109605.0
20190726,1.73,103889.0,105234.0
20190727,3.576,93956.0,95701.0
20190728,1.758,62642.0,62330.0
20190729,5.074,109190.0,111579.0
20190730,5.2,107258.0,109687.0
20190731,1.722,100335.0,102801.0
20190801,3.95,105397.0,107784.0
20190802,4.658,109400.0,111676.0
20190803,3.774,88023.0,89192.0
20190804,2.848,69632.0,68498.0
20190805,4.566,99849.0,100605.0
20190806,4.742,102433.0,103736.0
20190807,3.424,103047.0,104863.0
20190808,4.676,106550.0,108805.0
20190809,4.674,111647.0,113763.0
20190810,3.876,90844.0,92703.0
20190811,3.008,71017.0,70192.0
20190812,1.796,99936.0,101353.0
20190813,4.454,108205.0,109933.0
20190814,4.642,109444.0,111439.0
20190815,2.248,74067.0,75552.0
20190816,4.804,109480.0,111349.0
20190817,4.908,94777.0,96222.0
20190818,4.704,73985.0,73173.0
20190819,5.65,110383.0,112093.0
20190820,5.852,111941.0,113973.0
20190821,3.852,113458.0,114895.0
20190822,5.854,112725.0,114532.0
20190823,5.952,120692.0,122695.0
20190824,5.51,102689.0,104190.0
20190825,4.906,76281.0,75186.0
20190826,6.078,113469.0,115715.0
20190827,5.84,114541.0,116615.0
20190828,6.612,116628.0,118586.0
20190829,4.75,111473.0,113047.0
20190830,5.428,123407.0,125689.0
20190831,6.188,104452.0,107046.0
20190901,5.768,77899.0,78422.0
20190902,6.862,117962.0,120474.0
20190903,6.06,121719.0,124533.0
20190904,2.038,111387.0,113615.0
20190905,2.484,113666.0,115586.0
20190906,1.396,125889.0,128913.0
20190907,0.0,72895.0,74109.0
20190908,2.658,82041.0,84442.0
20190909,4.792,124711.0,128454.0
20190910,1.486,117524.0,121140.0
20190911,5.258,127603.0,130750.0
20190912,2.412,61863.0,64823.0
20190913,3.314,47764.0,47346.0
20190914,3.228,62408.0,61425.0
20190915,5.032,67825.0,68400.0
20190916,6.644,109040.0,111140.0
20190917,7.03,114026.0,115670.0
20190918,6.798,115766.0,117603.0
20190919,6.506,116590.0,118019.0
20190920,6.522,122781.0,123911.0
20190921,6.302,104376.0,107395.0
20190922,3.168,68309.0,68520.0
20190923,6.586,114404.0,116550.0
20190924,6.68,116032.0,117792.0
20190925,6.6,118075.0,119923.0
20190926,6.618,118372.0,120121.0
20190927,6.864,123548.0,124903.0
20190928,6.076,106789.0,107397.0
20190929,5.482,78551.0,79052.0
20190930,6.452,114928.0,117051.0
20191001,6.492,115633.0,117949.0
20191002,2.118,114425.0,115071.0
20191003,4.514,89129.0,92166.0
20191004,6.402,117987.0,119671.0
20191005,5.252,106603.0,106453.0
20191006,5.206,79056.0,79269.0
20191007,1.686,103909.0,105637.0
20191008,5.932,120439.0,122450.0
20191009,5.396,93820.0,95954.0
20191010,5.662,116479.0,118075.0
20191011,6.38,121078.0,122406.0
20191012,5.388,101667.0,102890.0
20191013,5.482,76268.0,76090.0
20191014,5.508,113425.0,116019.0
20191015,5.986,116041.0,118305.0
20191016,6.128,115687.0,117390.0
20191017,6.124,116782.0,118603.0
20191018,6.128,120623.0,122640.0
20191019,5.582,107796.0,109300.0
20191020,5.062,79663.0,79610.0
20191021,6.042,114638.0,116841.0
20191022,6.622,115543.0,117563.0
20191023,6.594,116364.0,118094.0
20191024,6.692,116724.0,118163.0
20191025,6.33,126005.0,127711.0
20191026,4.756,110439.0,112340.0
20191027,4.236,82091.0,82404.0
20191028,5.038,116559.0,119066.0
20191029,5.442,116628.0,118937.0
20191030,5.772,119014.0,121294.0
20191031,5.642,119068.0,120933.0
20191101,5.826,122748.0,124058.0
20191102,4.824,106166.0,107466.0
20191103,4.464,80167.0,80230.0
20191104,5.61,116030.0,118352.0
20191105,5.706,117600.0,119706.0
20191106,5.556,116973.0,119217.0
20191107,4.994,118378.0,120809.0
20191108,4.62,121545.0,124013.0
20191109,4.218,105315.0,106857.0
20191110,2.932,79159.0,78959.0
20191111,4.284,112858.0,114956.0
20191112,5.112,116658.0,119353.0
20191113,3.096,110522.0,112496.0
20191114,3.304,112504.0,114452.0
20191115,1.216,114168.0,115525.0
20191116,3.23,103369.0,104942.0
20191117,0.756,66582.0,66346.0
20191118,2.976,112777.0,115198.0
20191119,3.16,112310.0,113720.0
20191120,3.216,111790.0,114288.0
20191121,3.528,113883.0,116115.0
20191122,3.984,117802.0,119679.0
20191123,3.744,98677.0,101156.0
20191124,1.898,69038.0,69685.0
20191125,3.436,109999.0,111976.0
20191126,4.072,114933.0,117420.0
20191127,3.588,116743.0,119123.0
20191128,3.518,117674.0,119554.0
20191129,3.25,122611.0,124279.0
20191130,2.766,105246.0,106397.0
20191201,0.702,67415.0,67449.0
20191202,2.604,111849.0,113767.0
20191203,2.51,111556.0,113793.0
20191204,2.854,115010.0,116695.0
20191205,2.202,112335.0,113976.0
20191206,1.972,114641.0,115175.0
20191207,1.796,100901.0,102400.0
20191208,1.67,76025.0,76001.0
20191209,2.794,111366.0,113127.0
20191210,2.7,112891.0,114198.0
20191211,2.684,114025.0,116052.0
20191212,2.664,116638.0,118071.0
20191213,2.542,121953.0,123191.0
20191214,2.17,109655.0,110555.0
20191215,2.17,79063.0,79075.0
