일시,광진구,승차총승객수,하차총승객수
20180101,0.592,132814.0,127828.0
20180102,0.84,220378.0,218082.0
20180103,0.828,223801.0,220743.0
20180104,0.792,224870.0,221870.0
20180105,0.818,240028.0,238971.0
20180106,0.618,200953.0,202066.0
20180107,0.598,145389.0,146273.0
20180108,0.742,221438.0,219287.0
20180109,0.652,222692.0,219337.0
20180110,0.5,227669.0,225097.0
20180111,0.52,214552.0,211612.0
20180112,0.514,223286.0,222997.0
20180113,0.492,199199.0,201599.0
20180114,0.496,152334.0,153841.0
20180115,0.722,223597.0,221234.0
20180116,0.844,222839.0,219899.0
20180117,0.82,230845.0,227417.0
20180118,0.788,229154.0,226004.0
20180119,0.984,243185.0,242147.0
20180120,0.77,206129.0,207740.0
20180121,0.664,152770.0,154218.0
20180122,0.624,221849.0,219590.0
20180123,0.432,212318.0,209573.0
20180124,0.396,207085.0,203137.0
20180125,0.444,209465.0,204627.0
20180126,0.36,219111.0,217286.0
20180127,0.358,185712.0,188405.0
20180128,0.316,143155.0,144226.0
20180129,0.574,214252.0,210944.0
20180130,0.444,227432.0,227785.0
20180131,0.474,227523.0,223823.0
20180201,0.726,225395.0,221231.0
20180202,0.732,239820.0,237908.0
20180203,0.448,200866.0,202980.0
20180204,0.322,143057.0,143592.0
20180205,0.522,214978.0,211855.0
20180206,0.472,216195.0,212299.0
20180207,0.614,223831.0,220215.0
20180208,0.706,227476.0,224291.0
20180209,0.838,240857.0,239038.0
20180210,0.614,197992.0,198687.0
20180211,0.45,144804.0,146846.0
20180212,0.652,224574.0,222709.0
20180213,0.788,228927.0,228475.0
20180214,0.9,232108.0,241706.0
20180215,0.436,105110.0,115239.0
20180216,0.318,93476.0,90832.0
20180217,0.388,130780.0,129313.0
20180218,0.65,144701.0,142943.0
20180219,0.954,228898.0,224374.0
20180220,0.958,235719.0,232740.0
20180221,0.946,240522.0,237214.0
20180222,1.008,246793.0,244629.0
20180223,0.744,256670.0,255345.0
20180224,0.866,223495.0,225148.0
20180225,0.926,167411.0,168245.0
20180226,1.274,239656.0,237685.0
20180227,1.152,238805.0,235675.0
20180228,0.522,242064.0,240872.0
20180301,0.6,166993.0,166774.0
20180302,1.028,242079.0,239466.0
20180303,2.12,216800.0,218422.0
20180304,0.616,151076.0,153178.0
20180305,1.18,241126.0,237813.0
20180306,1.606,247054.0,241920.0
20180307,1.55,247110.0,242793.0
20180308,0.952,245313.0,239304.0
20180309,1.612,261609.0,259752.0
20180310,1.73,227983.0,228775.0
20180311,2.144,175220.0,177132.0
20180312,2.136,243861.0,241678.0
20180313,2.608,248551.0,244460.0
20180314,3.622,258116.0,255133.0
20180315,1.08,240066.0,234890.0
20180316,2.276,269332.0,265016.0
20180317,2.616,241207.0,243580.0
20180318,1.716,184197.0,186008.0
20180319,1.254,238667.0,235546.0
20180320,1.598,245411.0,241494.0
20180321,1.226,237913.0,234515.0
20180322,2.08,248797.0,243715.0
20180323,2.372,268336.0,262991.0
20180324,1.94,232452.0,234688.0
20180325,2.158,172648.0,176275.0
20180326,2.146,240601.0,238034.0
20180327,2.352,245311.0,241622.0
20180328,2.986,251861.0,247545.0
20180329,2.972,250735.0,245650.0
20180330,3.376,270719.0,266198.0
20180331,3.476,235350.0,236733.0
20180401,3.078,167025.0,169559.0
20180402,3.824,244829.0,242143.0
20180403,3.728,248996.0,245029.0
20180404,3.488,250758.0,245505.0
20180405,0.412,240424.0,235330.0
20180406,1.76,267447.0,263037.0
20180407,1.474,241402.0,245084.0
20180408,0.872,170269.0,173737.0
20180409,3.014,245150.0,242337.0
20180410,2.62,249439.0,246008.0
20180411,3.192,249815.0,245552.0
20180412,3.68,255167.0,250546.0
20180413,3.866,268359.0,265255.0
20180414,0.976,215770.0,217415.0
20180415,1.554,174864.0,177906.0
20180416,3.718,241225.0,239226.0
20180417,3.702,244853.0,241157.0
20180418,3.134,245472.0,241596.0
20180419,2.734,244799.0,239413.0
20180420,3.874,257550.0,255651.0
20180421,4.66,230610.0,232792.0
20180422,1.216,155718.0,154665.0
20180423,0.144,219014.0,216038.0
20180424,2.784,236534.0,231939.0
20180425,4.304,248958.0,244055.0
20180426,4.542,256176.0,249989.0
20180427,4.354,277487.0,272692.0
20180428,4.73,253164.0,256110.0
20180429,4.602,184988.0,187250.0
20180430,4.91,251130.0,249981.0
20180501,5.12,222332.0,218795.0
20180502,1.332,240224.0,236040.0
20180503,3.034,255068.0,248994.0
20180504,4.418,293215.0,294293.0
20180505,5.342,242082.0,249935.0
20180506,2.656,154542.0,154961.0
20180507,5.57,206993.0,204966.0
20180508,4.272,247768.0,245093.0
20180509,5.064,253900.0,251188.0
20180510,5.038,258670.0,254136.0
20180511,4.404,278850.0,272865.0
20180512,0.44,210568.0,212442.0
20180513,4.602,183593.0,186967.0
20180514,4.924,246224.0,243912.0
20180515,4.282,266508.0,265401.0
20180516,1.152,235392.0,230879.0
20180517,0.508,239916.0,232224.0
20180518,2.306,269965.0,265553.0
20180519,5.662,260494.0,263285.0
20180520,4.922,192001.0,193621.0
20180521,5.644,258271.0,259558.0
20180522,2.184,185658.0,184965.0
20180523,4.458,248807.0,245443.0
20180524,4.884,254290.0,248784.0
20180525,4.924,294392.0,289736.0
20180526,5.092,247342.0,250864.0
20180527,5.196,181262.0,184238.0
20180528,5.234,243197.0,240656.0
20180529,3.556,243114.0,238936.0
20180530,5.07,246629.0,243172.0
20180531,5.182,247292.0,242499.0
20180601,5.338,265346.0,261915.0
20180602,5.59,232116.0,233089.0
20180603,5.24,170775.0,172500.0
20180604,5.598,238323.0,235996.0
20180605,5.364,253259.0,251408.0
20180606,5.274,184435.0,182749.0
20180607,5.372,246739.0,241433.0
20180608,5.678,260012.0,257555.0
20180609,4.358,218472.0,219833.0
20180610,4.836,160458.0,161596.0
20180611,4.37,234421.0,231730.0
20180612,5.744,248556.0,246097.0
20180613,6.256,173359.0,172373.0
20180614,4.038,237316.0,232316.0
20180615,5.622,252931.0,251565.0
20180616,6.152,215211.0,217081.0
20180617,5.798,158773.0,158770.0
20180618,4.672,233364.0,231463.0
20180619,5.656,236232.0,231469.0
20180620,5.674,240885.0,237257.0
20180621,6.198,247822.0,243031.0
20180622,6.108,261808.0,259713.0
20180623,5.684,228184.0,229907.0
20180624,5.258,165210.0,164600.0
20180625,5.752,233364.0,230863.0
20180626,0.74,211366.0,208050.0
20180627,4.816,232741.0,230319.0
20180628,3.366,228739.0,225019.0
20180629,4.992,246046.0,245634.0
20180630,3.318,194069.0,194991.0
20180701,0.506,128676.0,127428.0
20180702,0.468,212235.0,209848.0
20180703,4.802,226455.0,223536.0
20180704,5.44,230934.0,228242.0
20180705,4.848,231204.0,228100.0
20180706,6.028,252438.0,252495.0
20180707,6.11,222219.0,225533.0
20180708,6.502,167842.0,167006.0
20180709,1.016,221409.0,219177.0
20180710,3.242,231254.0,227616.0
20180711,4.512,234126.0,230343.0
20180712,5.434,234446.0,231075.0
20180713,5.408,250955.0,251305.0
20180714,4.964,211521.0,214827.0
20180715,4.286,161828.0,160422.0
20180716,5.27,224444.0,221227.0
20180717,5.146,226805.0,224452.0
20180718,5.158,228611.0,225824.0
20180719,5.13,229407.0,226558.0
20180720,4.844,245503.0,246713.0
20180721,4.098,203738.0,205998.0
20180722,3.706,154463.0,153295.0
20180723,4.828,223311.0,220179.0
20180724,4.614,219402.0,216432.0
20180725,4.612,224428.0,222919.0
20180726,4.626,224058.0,221221.0
20180727,3.904,235237.0,236861.0
20180728,3.252,184247.0,186218.0
20180729,3.656,147180.0,146405.0
20180730,4.62,217008.0,215786.0
20180731,4.414,215968.0,213804.0
20180801,3.874,211521.0,210874.0
20180802,3.966,208544.0,207452.0
20180803,3.832,216066.0,219048.0
20180804,3.636,177347.0,180589.0
20180805,3.522,144073.0,142605.0
20180806,3.48,211239.0,208185.0
20180807,4.564,217841.0,215338.0
20180808,4.7,220915.0,219229.0
20180809,3.714,216892.0,214684.0
20180810,4.604,234468.0,235453.0
20180811,4.242,191145.0,194403.0
20180812,3.992,150277.0,149765.0
20180813,4.642,217262.0,214262.0
20180814,4.67,226337.0,227246.0
20180815,3.304,159497.0,159077.0
20180816,5.412,223742.0,221104.0
20180817,6.114,240711.0,241156.0
20180818,6.202,205997.0,207921.0
20180819,5.626,158825.0,158458.0
20180820,5.216,222864.0,220202.0
20180821,5.028,224977.0,222595.0
20180822,5.446,234107.0,230706.0
20180823,2.892,203555.0,199543.0
20180824,1.85,205509.0,206236.0
20180825,5.794,223006.0,227852.0
20180826,3.844,157874.0,158945.0
20180827,2.888,225838.0,223083.0
20180828,1.798,222180.0,219682.0
20180829,1.752,222287.0,219459.0
20180830,4.33,231434.0,228235.0
20180831,5.86,251826.0,249409.0
20180901,5.654,217061.0,218642.0
20180902,6.662,165151.0,167178.0
20180903,2.404,224205.0,222817.0
20180904,6.474,239999.0,236117.0
20180905,7.338,245604.0,242786.0
20180906,5.384,242902.0,238599.0
20180907,6.992,262061.0,259103.0
20180908,7.328,230651.0,233165.0
20180909,6.908,178009.0,179876.0
20180910,7.156,241521.0,239914.0
20180911,7.036,241014.0,237956.0
20180912,7.606,244691.0,241528.0
20180913,6.988,245751.0,241398.0
20180914,5.812,260039.0,256327.0
20180915,5.852,224993.0,225852.0
20180916,3.168,159490.0,163476.0
20180917,6.8,238418.0,236505.0
20180918,7.248,242777.0,240049.0
20180919,5.88,244952.0,241489.0
20180920,2.96,246854.0,242078.0
20180921,3.892,257581.0,257702.0
20180922,6.262,177016.0,184475.0
20180923,4.47,115681.0,122418.0
20180924,4.374,107406.0,104957.0
20180925,6.29,145990.0,143579.0
20180926,7.42,164542.0,163055.0
20180927,7.838,234632.0,232152.0
20180928,7.628,250691.0,248125.0
20180929,8.014,217600.0,218491.0
20180930,7.148,162490.0,164984.0
20181001,6.446,233990.0,232377.0
20181002,7.14,248290.0,247672.0
20181003,8.724,186515.0,185993.0
20181004,7.52,244764.0,239406.0
20181005,1.076,247812.0,245580.0
20181006,3.698,194308.0,196027.0
20181007,7.168,173228.0,177326.0
20181008,7.306,248508.0,249796.0
20181009,7.552,182051.0,181320.0
20181010,5.486,238776.0,235950.0
20181011,5.416,242274.0,237967.0
20181012,5.634,261239.0,258577.0
20181013,5.99,239369.0,242216.0
20181014,5.804,183415.0,182761.0
20181015,6.32,234501.0,232583.0
20181016,6.152,239061.0,236939.0
20181017,5.858,239025.0,234931.0
20181018,5.816,247391.0,242871.0
20181019,6.032,262850.0,259438.0
20181020,5.998,232735.0,234485.0
20181021,5.83,177398.0,179280.0
20181022,6.424,233409.0,232709.0
20181023,4.714,230353.0,227334.0
20181024,6.232,239323.0,236316.0
20181025,6.446,248366.0,243735.0
20181026,2.996,253677.0,251158.0
20181027,3.826,241458.0,242963.0
20181028,2.49,161496.0,164686.0
20181029,4.36,234478.0,233830.0
20181030,4.454,238013.0,235666.0
20181031,4.752,241854.0,238637.0
20181101,5.112,242531.0,238187.0
20181102,5.5,260913.0,258760.0
20181103,5.074,231045.0,234420.0
20181104,4.796,179107.0,181146.0
20181105,5.122,235975.0,234132.0
20181106,4.956,238151.0,235935.0
20181107,3.778,238575.0,235009.0
20181108,0.344,233434.0,229461.0
20181109,4.012,260250.0,258956.0
20181110,3.862,223393.0,226880.0
20181111,2.94,165764.0,168370.0
20181112,4.836,235921.0,235061.0
20181113,4.916,236726.0,234006.0
20181114,5.12,243296.0,240613.0
20181115,4.902,245770.0,241394.0
20181116,4.656,260419.0,258868.0
20181117,3.574,243713.0,246140.0
20181118,3.294,166108.0,169948.0
20181119,4.462,234308.0,233260.0
20181120,4.452,238704.0,235547.0
20181121,3.572,236664.0,234070.0
20181122,3.77,248642.0,244335.0
20181123,3.752,257031.0,255881.0
20181124,1.44,223125.0,225269.0
20181125,2.636,166789.0,170683.0
20181126,4.074,237092.0,236179.0
20181127,3.648,235056.0,232561.0
20181128,3.918,241183.0,237885.0
20181129,3.72,240074.0,235822.0
20181130,3.522,255961.0,253083.0
20181201,2.986,218210.0,218621.0
20181202,2.892,158356.0,161234.0
20181203,1.4,226345.0,224413.0
20181204,2.548,234833.0,231448.0
20181205,3.132,235888.0,233606.0
20181206,2.986,242888.0,238534.0
20181207,1.988,250350.0,247134.0
20181208,1.306,203731.0,205407.0
20181209,1.252,144539.0,147616.0
20181210,2.194,229975.0,227802.0
20181211,2.564,235951.0,232622.0
20181212,2.372,239712.0,236407.0
20181213,1.508,247701.0,242862.0
20181214,1.826,257328.0,254598.0
20181215,1.562,217122.0,217462.0
20181216,1.286,154308.0,156543.0
20181217,2.158,233579.0,230710.0
20181218,2.522,237188.0,233920.0
20181219,2.65,242044.0,237771.0
20181220,2.64,258740.0,253141.0
20181221,2.648,267787.0,266202.0
20181222,1.958,222480.0,224650.0
20181223,1.6,167679.0,168906.0
20181224,1.872,244963.0,245389.0
20181225,1.502,169312.0,171161.0
20181226,2.162,238364.0,235623.0
20181227,1.406,228837.0,225478.0
20181228,1.158,237224.0,236362.0
20181229,0.956,187887.0,190747.0
20181230,0.998,144487.0,146389.0
20181231,1.394,219080.0,222999.0
20190101,1.108,122845.0,119977.0
20190102,1.678,219946.0,216539.0
20190103,1.906,226074.0,222757.0
20190104,2.194,238688.0,239122.0
20190105,1.598,200437.0,201904.0
20190106,1.398,145166.0,146223.0
20190107,2.018,222356.0,219952.0
20190108,1.944,223805.0,220652.0
20190109,1.944,223434.0,220371.0
20190110,2.138,227580.0,224141.0
20190111,2.396,241579.0,241399.0
20190112,1.908,204650.0,205977.0
20190113,1.576,150314.0,152227.0
20190114,1.874,219750.0,216825.0
20190115,1.798,223719.0,219667.0
20190116,2.006,223217.0,221233.0
20190117,2.214,228145.0,224536.0
20190118,2.266,239790.0,239805.0
20190119,1.924,203124.0,204484.0
20190120,1.486,153483.0,153719.0
20190121,1.972,220512.0,217485.0
20190122,2.326,223253.0,219675.0
20190123,2.314,227785.0,224326.0
20190124,2.242,229663.0,225923.0
20190125,2.224,242115.0,240498.0
20190126,1.646,204669.0,206360.0
20190127,1.564,151748.0,153573.0
20190128,1.966,221960.0,218957.0
20190129,2.248,224758.0,220938.0
20190130,2.534,227928.0,224921.0
20190131,2.028,226242.0,222928.0
20190201,2.162,231687.0,233455.0
20190202,1.66,163046.0,168115.0
20190203,0.254,108672.0,114351.0
20190204,0.95,91013.0,95300.0
20190205,1.058,94474.0,89573.0
20190206,1.606,130023.0,126431.0
20190207,1.768,217325.0,213903.0
20190208,1.808,232659.0,230974.0
20190209,1.518,193064.0,194195.0
20190210,1.172,144275.0,146459.0
20190211,2.042,227708.0,224496.0
20190212,2.286,230866.0,227526.0
20190213,2.226,233234.0,230394.0
20190214,2.292,237576.0,235118.0
20190215,1.134,245835.0,245814.0
20190216,1.596,231347.0,233386.0
20190217,1.742,162480.0,163523.0
20190218,2.304,230321.0,227103.0
20190219,1.398,227152.0,223710.0
20190220,2.302,236217.0,233444.0
20190221,2.736,239903.0,235280.0
20190222,2.61,259781.0,260424.0
20190223,3.04,222072.0,223587.0
20190224,3.004,168772.0,169808.0
20190225,2.842,233542.0,230992.0
20190226,3.36,239868.0,237005.0
20190227,3.522,240765.0,236665.0
20190228,3.254,251033.0,250370.0
20190301,2.734,189327.0,190655.0
20190302,3.07,196675.0,198523.0
20190303,3.214,158329.0,158991.0
20190304,3.62,239108.0,236302.0
20190305,3.236,238421.0,234965.0
20190306,3.29,240546.0,236141.0
20190307,4.146,250019.0,243945.0
20190308,4.034,262617.0,260678.0
20190309,4.272,228929.0,229699.0
20190310,4.158,167726.0,168366.0
20190311,3.746,240300.0,237836.0
20190312,3.126,239936.0,235392.0
20190313,3.688,243232.0,239306.0
20190314,4.138,249077.0,245282.0
20190315,2.772,258845.0,255008.0
20190316,3.336,224416.0,225580.0
20190317,4.762,179531.0,181743.0
20190318,4.776,241507.0,239524.0
20190319,5.388,245135.0,240552.0
20190320,2.252,237168.0,233179.0
20190321,3.456,244871.0,239706.0
20190322,4.06,262151.0,258826.0
20190323,2.664,215464.0,216216.0
20190324,4.184,170180.0,173340.0
20190325,4.564,237047.0,234916.0
20190326,5.606,244220.0,239977.0
20190327,4.836,245203.0,240745.0
20190328,5.4,249189.0,244418.0
20190329,5.732,265576.0,262112.0
20190330,1.512,202652.0,203575.0
20190331,2.91,158769.0,162457.0
20190401,5.068,238934.0,235658.0
20190402,5.508,240392.0,236104.0
20190403,5.532,243592.0,239226.0
20190404,6.162,247816.0,242920.0
20190405,6.054,265451.0,262370.0
20190406,3.398,222685.0,224386.0
20190407,7.436,201765.0,204815.0
20190408,6.604,246128.0,243131.0
20190409,3.432,237498.0,233706.0
20190410,3.288,238507.0,233935.0
20190411,6.5,252104.0,246746.0
20190412,6.86,270276.0,267201.0
20190413,7.658,256394.0,258507.0
20190414,3.6,149131.0,151713.0
20190415,7.194,241469.0,238612.0
20190416,8.132,243214.0,238965.0
20190417,8.584,244513.0,240140.0
20190418,6.822,237848.0,237950.0
20190419,8.114,252791.0,250461.0
20190420,7.328,232609.0,233898.0
20190421,7.488,161825.0,162875.0
20190422,8.876,236648.0,233736.0
20190423,7.938,232874.0,227752.0
20190424,7.592,240225.0,234992.0
20190425,2.936,240171.0,234482.0
20190426,3.89,262211.0,258384.0
20190427,8.616,253349.0,255598.0
20190428,7.274,177308.0,180291.0
20190429,8.058,244989.0,242759.0
20190430,9.696,258683.0,255615.0
20190501,11.226,224208.0,222676.0
20190502,9.996,260800.0,255324.0
20190503,9.908,283280.0,281644.0
20190504,10.364,263336.0,274129.0
20190505,9.478,201692.0,202812.0
20190506,10.81,204455.0,203228.0
20190507,9.67,248885.0,244815.0
20190508,9.27,245377.0,241792.0
20190509,10.394,256926.0,252884.0
20190510,10.058,282201.0,279311.0
20190511,10.67,241863.0,243605.0
20190512,10.566,195316.0,197528.0
20190513,9.24,239297.0,237039.0
20190514,10.574,248474.0,244267.0
20190515,9.48,263783.0,262096.0
20190516,9.854,258258.0,256189.0
20190517,10.404,272232.0,265531.0
20190518,10.45,242076.0,243387.0
20190519,1.724,154237.0,156514.0
20190520,8.862,242806.0,240841.0
20190521,9.952,246717.0,242295.0
20190522,10.63,247387.0,242053.0
20190523,10.08,251620.0,244569.0
20190524,9.296,269484.0,266127.0
20190525,9.924,237365.0,238078.0
20190526,10.04,184253.0,186018.0
20190527,3.9,226983.0,224214.0
20190528,9.902,245777.0,242182.0
20190529,10.508,244880.0,240504.0
20190530,9.138,245832.0,240415.0
20190531,10.428,262394.0,259004.0
20190601,10.724,232367.0,231865.0
20190602,10.444,170365.0,172434.0
20190603,10.89,236244.0,232889.0
20190604,10.742,242282.0,238120.0
20190605,10.01,257835.0,255414.0
20190606,4.72,173400.0,171888.0
20190607,6.572,229192.0,227291.0
20190608,11.138,213703.0,215006.0
20190609,7.784,154389.0,154095.0
20190610,8.156,231590.0,228757.0
20190611,10.548,237991.0,234479.0
20190612,10.234,241090.0,237032.0
20190613,11.054,242057.0,236953.0
20190614,10.896,252485.0,250028.0
20190615,9.234,224230.0,224899.0
20190616,10.998,158374.0,159510.0
20190617,10.674,234002.0,230682.0
20190618,5.768,232259.0,227040.0
20190619,10.262,236670.0,231996.0
20190620,11.632,247735.0,242876.0
20190621,10.236,256258.0,254783.0
20190622,11.234,229313.0,229297.0
20190623,10.24,171403.0,171294.0
20190624,10.468,235143.0,230937.0
20190625,10.684,237084.0,233729.0
20190626,10.132,234567.0,230566.0
20190627,9.886,231289.0,227622.0
20190628,9.216,246780.0,245611.0
20190629,8.404,199557.0,201589.0
20190630,9.952,160204.0,159831.0
20190701,11.342,228759.0,225036.0
20190702,11.616,231955.0,228384.0
20190703,11.986,232707.0,229018.0
20190704,11.492,236741.0,232381.0
20190705,10.114,248782.0,248909.0
20190706,9.422,212269.0,215308.0
20190707,9.678,160489.0,158853.0
20190708,11.57,227513.0,224916.0
20190709,11.572,234849.0,230275.0
20190710,5.312,229708.0,226732.0
20190711,7.154,230383.0,225514.0
20190712,11.52,251141.0,251029.0
20190713,10.212,210170.0,211822.0
20190714,9.814,162346.0,161565.0
20190715,6.464,220305.0,217111.0
20190716,9.084,229045.0,225467.0
20190717,9.25,231905.0,228138.0
20190718,9.444,232689.0,228390.0
20190719,9.274,247937.0,247222.0
20190720,7.216,204869.0,206043.0
20190721,5.762,149292.0,149621.0
20190722,9.81,225488.0,222841.0
20190723,9.806,224549.0,221420.0
20190724,7.898,222739.0,219349.0
20190725,4.474,221199.0,218822.0
20190726,3.004,223617.0,222130.0
20190727,5.786,187418.0,190248.0
20190728,2.95,135832.0,136646.0
20190729,8.408,220877.0,218604.0
20190730,8.772,220870.0,218302.0
20190731,3.44,211621.0,209863.0
20190801,7.264,221534.0,219842.0
20190802,7.918,230759.0,232222.0
20190803,6.532,179290.0,181694.0
20190804,6.078,142230.0,141171.0
20190805,8.208,212929.0,209937.0
20190806,8.096,217007.0,213990.0
20190807,6.086,216025.0,213468.0
20190808,8.576,223816.0,221006.0
20190809,7.796,238060.0,239445.0
20190810,6.878,189078.0,191064.0
20190811,6.282,147975.0,147468.0
20190812,3.108,207528.0,205476.0
20190813,7.924,222018.0,218896.0
20190814,8.56,231711.0,232448.0
20190815,3.484,144614.0,145096.0
20190816,9.048,221537.0,221558.0
20190817,9.644,189475.0,190697.0
20190818,9.75,157328.0,156514.0
20190819,10.34,224038.0,220946.0
20190820,10.72,228596.0,225157.0
20190821,6.704,226469.0,223149.0
20190822,10.754,231436.0,229107.0
20190823,11.324,247927.0,247199.0
20190824,11.938,216651.0,219618.0
20190825,10.942,162685.0,161681.0
20190826,11.198,227212.0,223144.0
20190827,10.328,226052.0,222197.0
20190828,10.488,232896.0,229426.0
20190829,7.0,223972.0,219810.0
20190830,9.764,249524.0,249310.0
20190831,12.842,223304.0,224837.0
20190901,12.422,167969.0,167659.0
20190902,12.154,237284.0,233556.0
20190903,9.558,237205.0,233588.0
20190904,3.848,230827.0,226522.0
20190905,4.036,230599.0,225669.0
20190906,2.02,250039.0,247599.0
20190907,0.0,137805.0,137744.0
20190908,5.83,153063.0,156371.0
20190909,8.448,234907.0,232715.0
20190910,2.808,231978.0,229628.0
20190911,9.79,253030.0,257517.0
20190912,4.568,116922.0,127112.0
20190913,7.716,110011.0,108864.0
20190914,6.166,139771.0,137511.0
20190915,10.864,155765.0,156211.0
20190916,12.074,232684.0,231081.0
20190917,11.324,240492.0,237368.0
20190918,11.946,242749.0,240288.0
20190919,12.352,246717.0,242331.0
20190920,12.08,264509.0,260599.0
20190921,11.564,228073.0,228458.0
20190922,4.53,143411.0,147233.0
20190923,10.918,238808.0,236905.0
20190924,11.058,242367.0,239645.0
20190925,11.736,244726.0,241376.0
20190926,11.098,246178.0,241074.0
20190927,11.208,261385.0,257554.0
20190928,11.724,240640.0,241920.0
20190929,12.014,174264.0,177296.0
20190930,11.436,236636.0,234303.0
20191001,11.316,238092.0,233820.0
20191002,3.418,244798.0,242008.0
20191003,9.416,173187.0,171947.0
20191004,11.582,257494.0,255299.0
20191005,10.398,227615.0,227985.0
20191006,10.49,171106.0,173374.0
20191007,2.7,222812.0,220381.0
20191008,9.642,250656.0,249580.0
20191009,10.722,189134.0,187058.0
20191010,9.974,238568.0,234021.0
20191011,11.334,257501.0,255204.0
20191012,10.616,230866.0,232425.0
20191013,10.884,175066.0,174848.0
20191014,9.502,236316.0,233853.0
20191015,10.518,237395.0,233924.0
20191016,10.29,233538.0,230978.0
20191017,10.51,240086.0,235145.0
20191018,10.792,253883.0,251736.0
20191019,11.246,235396.0,234988.0
20191020,10.808,171107.0,171745.0
20191021,10.612,230007.0,227492.0
20191022,10.44,233370.0,228260.0
20191023,10.74,233556.0,229415.0
20191024,10.364,243203.0,238048.0
20191025,9.242,266073.0,261821.0
20191026,9.078,244576.0,245356.0
20191027,8.546,181650.0,183605.0
20191028,7.69,236248.0,234523.0
20191029,7.686,237412.0,233963.0
20191030,9.386,239304.0,236464.0
20191031,9.108,242870.0,236687.0
20191101,8.906,257520.0,255297.0
20191102,8.278,222665.0,224625.0
20191103,8.296,176228.0,177364.0
20191104,9.494,235717.0,233618.0
20191105,9.516,237547.0,234323.0
20191106,9.138,240376.0,236455.0
20191107,8.274,242319.0,237682.0
20191108,7.844,256881.0,254826.0
20191109,7.838,225825.0,227599.0
20191110,5.19,165960.0,167664.0
20191111,7.212,231328.0,229923.0
20191112,8.356,233626.0,230658.0
20191113,4.73,233410.0,230535.0
20191114,5.404,238838.0,234741.0
20191115,1.878,248372.0,247927.0
20191116,5.904,234435.0,234138.0
20191117,1.51,149328.0,152398.0
20191118,4.72,232329.0,230444.0
20191119,5.166,232616.0,229422.0
20191120,5.362,236220.0,233336.0
20191121,5.822,241591.0,236167.0
20191122,6.732,255189.0,253978.0
20191123,7.168,229434.0,228343.0
20191124,3.282,163433.0,166613.0
20191125,5.262,232298.0,230746.0
20191126,6.276,238032.0,234949.0
20191127,5.548,240363.0,237195.0
20191128,5.632,241069.0,236010.0
20191129,5.492,254177.0,251047.0
20191130,4.884,217191.0,217453.0
20191201,1.284,146544.0,149181.0
20191202,4.076,229491.0,227739.0
20191203,4.172,230390.0,227416.0
20191204,4.962,236008.0,232834.0
20191205,3.662,237999.0,233358.0
20191206,3.38,245587.0,242296.0
20191207,2.814,208166.0,209586.0
20191208,3.012,151818.0,154096.0
20191209,4.18,230074.0,227601.0
20191210,4.254,234930.0,231668.0
20191211,4.222,239570.0,236011.0
20191212,4.024,245772.0,240729.0
20191213,3.982,256222.0,253654.0
20191214,3.35,225096.0,225538.0
20191215,4.044,162396.0,165105.0
20191216,4.85,238617.0,236422.0
20191217,3.256,235211.0,230686.0
20191218,4.364,243850.0,240315.0
20191219,4.16,247008.0,242061.0
20191220,3.944,267888.0,265589.0
20191221,2.654,228619.0,230301.0
20191222,3.184,170106.0,171722.0
20191223,3.486,238237.0,234739.0
20191224,3.836,260929.0,260681.0
20191225,3.008,174663.0,174846.0
20191226,2.94,233635.0,230806.0
20191227,3.378,248056.0,247193.0
20191228,3.226,204948.0,207218.0
20191229,2.568,153881.0,154334.0
20191230,2.734,231206.0,229593.0
