일시,중랑구,승차총승객수,하차총승객수
20180101,0.162,64777.0,65393.0
20180102,0.26,142303.0,136108.0
20180103,0.288,144071.0,138891.0
20180104,0.292,144363.0,138848.0
20180105,0.308,150693.0,143519.0
20180106,0.228,113739.0,108324.0
20180107,0.238,83294.0,80001.0
20180108,0.202,146077.0,140780.0
20180109,0.206,145056.0,139774.0
20180110,0.16,145663.0,139830.0
20180111,0.138,138081.0,132861.0
20180112,0.136,139748.0,133496.0
20180113,0.188,114666.0,110313.0
20180114,0.17,84682.0,81577.0
20180115,0.26,146157.0,140475.0
20180116,0.258,145019.0,139515.0
20180117,0.24,149153.0,143866.0
20180118,0.228,147404.0,141182.0
20180119,0.294,152726.0,146197.0
20180120,0.276,118964.0,112767.0
20180121,0.268,85888.0,83252.0
20180122,0.162,145168.0,140176.0
20180123,0.11,139955.0,134371.0
20180124,0.088,134139.0,128994.0
20180125,0.098,136079.0,130834.0
20180126,0.088,138248.0,132740.0
20180127,0.116,107585.0,102667.0
20180128,0.128,80756.0,78822.0
20180129,0.132,141104.0,135828.0
20180130,0.098,147698.0,147295.0
20180131,0.1,150289.0,142968.0
20180201,0.202,148925.0,143207.0
20180202,0.224,154195.0,147890.0
20180203,0.152,115787.0,112479.0
20180204,0.126,82374.0,80037.0
20180205,0.144,144624.0,139235.0
20180206,0.114,144354.0,138928.0
20180207,0.158,148153.0,142640.0
20180208,0.174,152176.0,145825.0
20180209,0.23,154630.0,148830.0
20180210,0.236,117451.0,113254.0
20180211,0.144,83369.0,80171.0
20180212,0.178,147356.0,142217.0
20180213,0.288,150148.0,144529.0
20180214,0.272,148890.0,142272.0
20180215,0.218,67287.0,63183.0
20180216,0.192,62985.0,62791.0
20180217,0.236,75085.0,74338.0
20180218,0.262,82733.0,80357.0
20180219,0.32,145754.0,141080.0
20180220,0.302,151876.0,146228.0
20180221,0.338,152013.0,147008.0
20180222,0.318,153831.0,148512.0
20180223,0.246,157848.0,151842.0
20180224,0.288,126891.0,121736.0
20180225,0.314,93729.0,89953.0
20180226,0.394,151561.0,145094.0
20180227,0.396,151934.0,145458.0
20180228,0.15,151058.0,143913.0
20180301,0.226,95542.0,93447.0
20180302,0.346,154346.0,147789.0
20180303,0.598,120306.0,114762.0
20180304,0.26,84537.0,81542.0
20180305,0.326,156199.0,149689.0
20180306,0.588,158703.0,152773.0
20180307,0.53,157825.0,152390.0
20180308,0.334,153686.0,148423.0
20180309,0.606,160591.0,153396.0
20180310,0.606,126774.0,120775.0
20180311,0.712,93892.0,90291.0
20180312,0.688,157700.0,151371.0
20180313,0.798,159151.0,152386.0
20180314,1.0,160625.0,154297.0
20180315,0.336,153382.0,146892.0
20180316,0.756,163546.0,157022.0
20180317,0.806,130180.0,124364.0
20180318,0.564,95018.0,91355.0
20180319,0.39,154359.0,148157.0
20180320,0.538,158081.0,152048.0
20180321,0.428,154598.0,148642.0
20180322,0.666,159416.0,152655.0
20180323,0.854,163646.0,156843.0
20180324,0.718,129004.0,123094.0
20180325,0.72,93032.0,89654.0
20180326,0.674,156860.0,149767.0
20180327,0.802,158810.0,152279.0
20180328,1.012,159315.0,152905.0
20180329,1.062,158862.0,151391.0
20180330,1.168,164484.0,156430.0
20180331,1.144,127704.0,120862.0
20180401,1.156,90865.0,87621.0
20180402,1.448,157939.0,150317.0
20180403,1.41,158290.0,151508.0
20180404,1.122,158388.0,151129.0
20180405,0.13,153984.0,147866.0
20180406,0.638,161651.0,154763.0
20180407,0.772,127152.0,120872.0
20180408,0.368,89459.0,87323.0
20180409,1.162,157450.0,149961.0
20180410,0.928,159983.0,153337.0
20180411,1.204,159893.0,153103.0
20180412,1.246,160648.0,154044.0
20180413,1.35,164242.0,155881.0
20180414,0.462,116104.0,110311.0
20180415,0.73,96440.0,92389.0
20180416,1.32,158993.0,151315.0
20180417,1.402,159441.0,152957.0
20180418,1.138,160732.0,153762.0
20180419,0.974,158985.0,151888.0
20180420,1.346,162715.0,154992.0
20180421,1.584,127163.0,119799.0
20180422,0.54,85329.0,82673.0
20180423,0.036,145884.0,139886.0
20180424,1.084,158272.0,151264.0
20180425,1.716,161570.0,154179.0
20180426,1.512,161237.0,154020.0
20180427,1.598,164533.0,156568.0
20180428,1.712,130673.0,122984.0
20180429,1.844,95559.0,92138.0
20180430,1.59,159423.0,150897.0
20180501,1.914,126483.0,121376.0
20180502,0.4,154826.0,148291.0
20180503,1.34,160869.0,153422.0
20180504,1.662,168530.0,160863.0
20180505,1.632,119551.0,110851.0
20180506,1.036,83692.0,81147.0
20180507,2.082,105774.0,102411.0
20180508,1.608,160806.0,155098.0
20180509,1.972,162782.0,154580.0
20180510,1.908,161990.0,155244.0
20180511,1.87,167224.0,159989.0
20180512,0.236,117625.0,113229.0
20180513,1.838,97018.0,92976.0
20180514,1.786,159809.0,152555.0
20180515,1.766,164341.0,156625.0
20180516,0.394,151740.0,144653.0
20180517,0.168,153025.0,144869.0
20180518,0.936,167062.0,159382.0
20180519,2.142,148906.0,138624.0
20180520,2.106,109731.0,104478.0
20180521,2.086,158519.0,148921.0
20180522,0.948,104777.0,100185.0
20180523,1.808,161566.0,153671.0
20180524,1.85,160810.0,153530.0
20180525,1.964,167515.0,158536.0
20180526,2.056,132395.0,124221.0
20180527,2.1,96205.0,91488.0
20180528,2.056,157934.0,150114.0
20180529,1.602,158180.0,150713.0
20180530,2.062,160782.0,153006.0
20180531,2.062,159818.0,152783.0
20180601,2.166,163157.0,156128.0
20180602,2.058,126421.0,118501.0
20180603,2.078,92984.0,89232.0
20180604,2.126,156689.0,148602.0
20180605,2.296,160819.0,152262.0
20180606,2.122,103455.0,99085.0
20180607,2.15,158187.0,151414.0
20180608,2.346,163145.0,155837.0
20180609,1.954,123765.0,116864.0
20180610,2.098,89413.0,85680.0
20180611,1.656,155786.0,148770.0
20180612,2.27,160772.0,152611.0
20180613,2.664,106518.0,101109.0
20180614,1.486,155561.0,147744.0
20180615,2.198,161274.0,154058.0
20180616,2.454,124373.0,117094.0
20180617,2.38,90526.0,86347.0
20180618,1.934,155350.0,149369.0
20180619,2.536,156339.0,149201.0
20180620,2.424,157800.0,150433.0
20180621,2.438,156768.0,149618.0
20180622,2.568,161080.0,153383.0
20180623,2.496,125646.0,118403.0
20180624,2.01,89697.0,85977.0
20180625,2.534,152534.0,145849.0
20180626,0.492,140802.0,134358.0
20180627,2.178,152962.0,146040.0
20180628,1.492,151168.0,143909.0
20180629,2.138,157112.0,148637.0
20180630,1.53,113445.0,107764.0
20180701,0.312,71999.0,70168.0
20180702,0.246,143046.0,136593.0
20180703,2.224,151011.0,144220.0
20180704,2.364,152712.0,144932.0
20180705,2.162,153239.0,145871.0
20180706,2.5,160264.0,151969.0
20180707,2.594,122885.0,115609.0
20180708,2.372,90247.0,86819.0
20180709,0.414,147272.0,140945.0
20180710,1.334,152829.0,146023.0
20180711,1.732,152930.0,145751.0
20180712,2.444,154044.0,147343.0
20180713,2.39,158344.0,150304.0
20180714,2.196,121070.0,113973.0
20180715,1.864,89021.0,86026.0
20180716,2.082,147329.0,141374.0
20180717,2.31,150008.0,143201.0
20180718,2.236,151082.0,143982.0
20180719,2.256,150859.0,144102.0
20180720,2.22,156012.0,148310.0
20180721,1.86,115978.0,109160.0
20180722,1.616,84488.0,82137.0
20180723,1.974,145483.0,138848.0
20180724,2.016,145588.0,138817.0
20180725,2.1,148115.0,141287.0
20180726,2.068,147110.0,139904.0
20180727,1.974,149328.0,141369.0
20180728,1.57,108772.0,102595.0
20180729,1.544,82506.0,80009.0
20180730,1.892,139770.0,133665.0
20180731,1.896,139228.0,133141.0
20180801,1.62,135331.0,128933.0
20180802,1.656,132032.0,126492.0
20180803,1.71,135447.0,128373.0
20180804,1.536,101328.0,96225.0
20180805,1.48,79176.0,77056.0
20180806,1.69,136282.0,131195.0
20180807,1.85,139377.0,134166.0
20180808,2.028,142212.0,136450.0
20180809,1.782,140758.0,134976.0
20180810,1.968,147074.0,140982.0
20180811,1.734,111382.0,105259.0
20180812,1.354,82067.0,79835.0
20180813,1.782,140961.0,135423.0
20180814,1.95,144791.0,138189.0
20180815,1.45,92957.0,90006.0
20180816,2.192,144362.0,137923.0
20180817,2.288,150463.0,143847.0
20180818,2.382,114383.0,108601.0
20180819,2.316,86163.0,83475.0
20180820,2.242,146467.0,140302.0
20180821,2.102,147741.0,141042.0
20180822,2.124,150387.0,144429.0
20180823,1.334,140119.0,134164.0
20180824,0.722,136278.0,129314.0
20180825,2.396,121893.0,114305.0
20180826,1.728,86428.0,83566.0
20180827,1.164,147777.0,140637.0
20180828,0.816,146125.0,141678.0
20180829,0.52,143559.0,139272.0
20180830,1.37,151128.0,144567.0
20180831,2.174,158047.0,150118.0
20180901,2.274,121828.0,114767.0
20180902,2.522,89261.0,86053.0
20180903,0.894,149047.0,143399.0
20180904,2.49,155940.0,149218.0
20180905,2.748,156987.0,150834.0
20180906,2.046,156014.0,149476.0
20180907,2.754,161475.0,153685.0
20180908,2.854,126541.0,119166.0
20180909,2.684,93210.0,89503.0
20180910,2.906,156381.0,149240.0
20180911,2.918,157444.0,150985.0
20180912,2.994,157782.0,151017.0
20180913,2.952,157426.0,150433.0
20180914,2.704,160762.0,153698.0
20180915,2.4,123902.0,116388.0
20180916,1.53,90086.0,86298.0
20180917,3.006,157358.0,149480.0
20180918,2.886,157764.0,150354.0
20180919,2.462,158695.0,151519.0
20180920,1.25,157683.0,149883.0
20180921,1.728,161598.0,152146.0
20180922,2.668,107349.0,98912.0
20180923,2.062,69866.0,63992.0
20180924,2.008,63586.0,62284.0
20180925,2.34,76413.0,75130.0
20180926,2.726,87261.0,84442.0
20180927,2.866,151810.0,145201.0
20180928,3.088,158845.0,151215.0
20180929,3.08,121512.0,114313.0
20180930,2.694,89048.0,85116.0
20181001,2.744,154990.0,147674.0
20181002,3.058,162419.0,152729.0
20181003,3.128,104845.0,99448.0
20181004,2.992,158839.0,151220.0
20181005,0.462,155487.0,149366.0
20181006,1.502,111942.0,105335.0
20181007,2.732,95180.0,90514.0
20181008,2.744,156680.0,148013.0
20181009,2.708,101846.0,97440.0
20181010,2.224,157698.0,150931.0
20181011,2.178,157912.0,151581.0
20181012,2.326,163631.0,156905.0
20181013,2.372,131389.0,124098.0
20181014,2.436,96144.0,91432.0
20181015,2.512,155594.0,149087.0
20181016,2.394,158013.0,150778.0
20181017,2.546,158175.0,151696.0
20181018,2.498,159781.0,153787.0
20181019,2.67,163110.0,155322.0
20181020,2.598,132558.0,125634.0
20181021,2.366,98182.0,94103.0
20181022,2.398,155380.0,148198.0
20181023,2.022,154353.0,147867.0
20181024,2.608,158161.0,151090.0
20181025,2.552,159626.0,152772.0
20181026,1.342,157466.0,150693.0
20181027,1.824,134085.0,126302.0
20181028,1.018,88320.0,85747.0
20181029,1.794,155541.0,148913.0
20181030,1.812,157018.0,151190.0
20181031,1.878,158561.0,151573.0
20181101,2.096,158297.0,150972.0
20181102,2.132,163151.0,154847.0
20181103,1.954,128344.0,120615.0
20181104,1.952,94540.0,90868.0
20181105,2.27,156115.0,149241.0
20181106,2.188,157068.0,150809.0
20181107,1.546,155680.0,148742.0
20181108,0.162,150404.0,145124.0
20181109,1.698,162812.0,155027.0
20181110,1.81,127277.0,120598.0
20181111,1.368,91259.0,87838.0
20181112,1.938,156096.0,148997.0
20181113,2.172,157654.0,150927.0
20181114,2.138,159741.0,152222.0
20181115,2.08,157545.0,150720.0
20181116,1.96,161990.0,154543.0
20181117,1.554,123825.0,117403.0
20181118,1.416,91081.0,88109.0
20181119,1.676,154874.0,148191.0
20181120,1.642,156979.0,150222.0
20181121,1.51,155090.0,148607.0
20181122,1.514,158046.0,152021.0
20181123,1.462,160643.0,153274.0
20181124,0.57,124357.0,117357.0
20181125,0.936,90231.0,87086.0
20181126,1.398,155162.0,148209.0
20181127,1.464,156179.0,149313.0
20181128,1.486,158311.0,151360.0
20181129,1.444,156770.0,149924.0
20181130,1.47,162786.0,154564.0
20181201,1.366,123774.0,116626.0
20181202,1.138,90089.0,86510.0
20181203,0.438,150796.0,144016.0
20181204,1.08,156000.0,149251.0
20181205,1.174,157529.0,151033.0
20181206,1.192,157882.0,150895.0
20181207,0.828,157785.0,150696.0
20181208,0.538,116841.0,111162.0
20181209,0.51,84073.0,81525.0
20181210,0.862,153939.0,147306.0
20181211,1.024,155918.0,149201.0
20181212,0.892,157764.0,151405.0
20181213,0.666,159544.0,153096.0
20181214,0.792,161546.0,153882.0
20181215,0.672,126784.0,120364.0
20181216,0.604,90080.0,86629.0
20181217,0.872,153353.0,146191.0
20181218,0.91,155707.0,148742.0
20181219,1.0,157084.0,149182.0
20181220,1.058,163185.0,155912.0
20181221,1.094,162988.0,153803.0
20181222,0.952,126781.0,118906.0
20181223,0.74,90105.0,86872.0
20181224,0.86,150960.0,142933.0
20181225,0.708,92741.0,89638.0
20181226,0.894,154166.0,147667.0
20181227,0.64,148357.0,142214.0
20181228,0.526,151411.0,143229.0
20181229,0.462,109058.0,103299.0
20181230,0.46,81945.0,79122.0
20181231,0.604,140455.0,131215.0
20190101,0.47,63774.0,63857.0
20190102,0.696,143537.0,137637.0
20190103,0.762,147738.0,141374.0
20190104,0.848,152257.0,145655.0
20190105,0.748,113584.0,108101.0
20190106,0.604,83467.0,81399.0
20190107,0.806,148118.0,141717.0
20190108,0.816,148625.0,142573.0
20190109,0.792,146234.0,140702.0
20190110,0.892,149035.0,142911.0
20190111,1.018,153728.0,146860.0
20190112,0.798,118756.0,113285.0
20190113,0.69,84195.0,80775.0
20190114,0.668,145223.0,139168.0
20190115,0.67,147222.0,141144.0
20190116,0.752,147137.0,141110.0
20190117,0.894,150225.0,143814.0
20190118,0.864,153492.0,146663.0
20190119,0.782,117418.0,111464.0
20190120,0.678,86647.0,84258.0
20190121,0.766,146187.0,140195.0
20190122,0.94,148971.0,142940.0
20190123,0.842,150118.0,143256.0
20190124,0.96,149812.0,143207.0
20190125,0.854,154772.0,147514.0
20190126,0.768,118044.0,112853.0
20190127,0.58,86602.0,82767.0
20190128,0.808,148803.0,142434.0
20190129,0.932,149613.0,144089.0
20190130,1.052,152041.0,145266.0
20190131,0.844,150304.0,143679.0
20190201,0.854,152356.0,144996.0
20190202,0.736,102821.0,95871.0
20190203,0.13,68614.0,64453.0
20190204,0.602,59601.0,56062.0
20190205,0.564,60868.0,61372.0
20190206,0.766,71771.0,72021.0
20190207,0.726,141546.0,136875.0
20190208,0.742,149090.0,142913.0
20190209,0.72,113080.0,107883.0
20190210,0.556,83040.0,80388.0
20190211,0.774,150184.0,144940.0
20190212,0.884,152000.0,146932.0
20190213,0.858,152837.0,146993.0
20190214,0.804,154262.0,148995.0
20190215,0.456,157323.0,151098.0
20190216,0.706,124167.0,118489.0
20190217,0.75,90207.0,87565.0
20190218,0.868,150720.0,144715.0
20190219,0.578,150157.0,143546.0
20190220,0.968,153291.0,147138.0
20190221,1.022,154717.0,148288.0
20190222,1.014,158535.0,151481.0
20190223,1.104,127506.0,121513.0
20190224,1.048,92921.0,89603.0
20190225,1.106,152353.0,145626.0
20190226,1.304,154669.0,148196.0
20190227,1.404,155167.0,148285.0
20190228,1.388,158458.0,150636.0
20190301,1.142,107207.0,101230.0
20190302,1.162,112124.0,108008.0
20190303,1.294,88923.0,85933.0
20190304,1.404,156714.0,150622.0
20190305,1.184,156181.0,150225.0
20190306,1.286,156439.0,150611.0
20190307,1.594,159188.0,153012.0
20190308,1.6,164202.0,156445.0
20190309,1.518,128009.0,121874.0
20190310,1.534,90611.0,86974.0
20190311,1.544,157978.0,151623.0
20190312,1.192,157341.0,150953.0
20190313,1.328,160326.0,154408.0
20190314,1.492,159459.0,153243.0
20190315,0.988,161270.0,155585.0
20190316,1.336,125559.0,119747.0
20190317,1.73,95320.0,91057.0
20190318,1.656,157237.0,150545.0
20190319,1.898,159566.0,153273.0
20190320,0.878,155555.0,150375.0
20190321,1.136,158226.0,151878.0
20190322,1.594,163826.0,157368.0
20190323,1.138,121586.0,116167.0
20190324,1.456,92135.0,89139.0
20190325,1.522,156805.0,150463.0
20190326,1.972,159470.0,152848.0
20190327,1.744,157636.0,150979.0
20190328,1.862,159975.0,152920.0
20190329,2.1,164734.0,157111.0
20190330,0.634,119807.0,114477.0
20190331,1.012,89290.0,86161.0
20190401,1.738,155785.0,149834.0
20190402,1.892,157737.0,151700.0
20190403,2.064,158632.0,152035.0
20190404,2.162,159244.0,152806.0
20190405,1.878,162423.0,155127.0
20190406,1.144,122086.0,116404.0
20190407,2.452,96956.0,92874.0
20190408,2.308,158390.0,151126.0
20190409,1.126,155981.0,150625.0
20190410,1.178,156549.0,150029.0
20190411,2.254,161427.0,154237.0
20190412,2.472,165080.0,157354.0
20190413,2.498,129553.0,122649.0
20190414,1.426,83308.0,80434.0
20190415,2.376,157571.0,151010.0
20190416,2.732,159390.0,153119.0
20190417,2.832,158744.0,152550.0
20190418,2.448,157415.0,150437.0
20190419,2.9,162020.0,154450.0
20190420,2.41,125138.0,118375.0
20190421,2.5,90837.0,87292.0
20190422,2.932,157033.0,149955.0
20190423,2.82,157388.0,150733.0
20190424,2.582,159708.0,153013.0
20190425,1.274,156513.0,150569.0
20190426,1.51,162082.0,154852.0
20190427,2.982,132266.0,124534.0
20190428,2.508,93526.0,89803.0
20190429,2.858,158559.0,151457.0
20190430,3.086,165133.0,156568.0
20190501,3.538,125394.0,120082.0
20190502,3.33,161377.0,154513.0
20190503,3.286,166652.0,159125.0
20190504,3.048,127889.0,120190.0
20190505,3.198,97685.0,93057.0
20190506,3.546,101457.0,99144.0
20190507,3.418,160982.0,155151.0
20190508,3.37,161603.0,155643.0
20190509,3.33,162008.0,155416.0
20190510,3.808,167977.0,160748.0
20190511,3.862,130962.0,123967.0
20190512,3.46,97857.0,94382.0
20190513,3.352,156989.0,149844.0
20190514,4.062,160902.0,153872.0
20190515,3.808,163365.0,156736.0
20190516,3.772,160318.0,153356.0
20190517,4.104,165126.0,158095.0
20190518,4.012,129332.0,121651.0
20190519,0.744,86320.0,83582.0
20190520,3.368,158470.0,151106.0
20190521,4.064,161540.0,154758.0
20190522,4.052,161915.0,154484.0
20190523,3.932,162448.0,155452.0
20190524,4.086,171712.0,163824.0
20190525,4.45,142995.0,132436.0
20190526,3.866,106779.0,99734.0
20190527,1.4,150656.0,143826.0
20190528,4.222,161927.0,154190.0
20190529,4.286,160245.0,152746.0
20190530,3.736,159499.0,153135.0
20190531,4.296,163845.0,155913.0
20190601,4.052,127295.0,120010.0
20190602,3.704,93115.0,89564.0
20190603,4.224,157049.0,148932.0
20190604,4.304,158452.0,151807.0
20190605,4.34,163542.0,155632.0
20190606,2.248,97819.0,93472.0
20190607,2.494,146567.0,140245.0
20190608,4.278,121772.0,114452.0
20190609,3.142,85980.0,82663.0
20190610,3.114,152665.0,145400.0
20190611,4.316,158245.0,151720.0
20190612,4.454,157810.0,151015.0
20190613,4.216,158520.0,152098.0
20190614,4.544,161457.0,153615.0
20190615,3.752,125365.0,117939.0
20190616,3.946,90234.0,86864.0
20190617,4.288,155327.0,148342.0
20190618,1.762,152904.0,147057.0
20190619,3.714,156097.0,149781.0
20190620,4.388,159349.0,151923.0
20190621,3.978,161028.0,152895.0
20190622,4.31,125057.0,118093.0
20190623,3.866,91237.0,87780.0
20190624,4.568,152219.0,145106.0
20190625,4.444,154802.0,147598.0
20190626,4.466,154767.0,147735.0
20190627,3.924,153231.0,146213.0
20190628,3.832,158520.0,150553.0
20190629,3.734,116990.0,110488.0
20190630,4.164,89064.0,85262.0
20190701,4.88,150861.0,144184.0
20190702,5.016,153152.0,146126.0
20190703,4.834,154863.0,148495.0
20190704,4.946,154828.0,147871.0
20190705,4.274,159253.0,151110.0
20190706,4.014,118703.0,111617.0
20190707,4.172,88488.0,85548.0
20190708,4.658,151051.0,144358.0
20190709,4.808,154721.0,147432.0
20190710,2.214,152956.0,147094.0
20190711,2.986,151586.0,144300.0
20190712,4.758,159317.0,151647.0
20190713,4.244,120346.0,112972.0
20190714,3.626,88733.0,85499.0
20190715,3.13,146580.0,140307.0
20190716,3.912,151087.0,145139.0
20190717,4.332,152829.0,146706.0
20190718,4.112,152580.0,145628.0
20190719,4.042,157002.0,149651.0
20190720,3.352,112918.0,106465.0
20190721,2.448,83293.0,80471.0
20190722,4.082,148001.0,142100.0
20190723,4.364,148116.0,142404.0
20190724,3.254,146205.0,140187.0
20190725,1.858,145146.0,138729.0
20190726,1.24,142151.0,135344.0
20190727,2.416,110261.0,103842.0
20190728,1.324,75357.0,73112.0
20190729,3.556,142331.0,136371.0
20190730,3.614,142514.0,136907.0
20190731,1.19,134596.0,128622.0
20190801,2.984,139314.0,132485.0
20190802,3.484,140384.0,132947.0
20190803,2.694,103086.0,97019.0
20190804,2.26,79555.0,77816.0
20190805,3.506,136377.0,130706.0
20190806,3.506,139366.0,133814.0
20190807,2.706,140227.0,134684.0
20190808,3.59,143837.0,137437.0
20190809,3.61,147902.0,140952.0
20190810,2.96,110115.0,103626.0
20190811,2.522,82982.0,80810.0
20190812,1.266,136882.0,131018.0
20190813,3.302,145315.0,140162.0
20190814,3.456,148687.0,140936.0
20190815,1.676,87336.0,83921.0
20190816,3.516,141542.0,134535.0
20190817,3.898,110164.0,103941.0
20190818,3.99,85855.0,83101.0
20190819,4.266,145879.0,139956.0
20190820,4.312,149877.0,143413.0
20190821,2.966,149291.0,143461.0
20190822,4.348,150521.0,143236.0
20190823,4.394,156378.0,148897.0
20190824,4.638,121025.0,114083.0
20190825,4.052,88794.0,85363.0
20190826,4.342,152134.0,145540.0
20190827,4.266,152385.0,145848.0
20190828,4.9,154290.0,147275.0
20190829,3.69,149922.0,143147.0
20190830,3.97,159509.0,151884.0
20190831,4.756,121741.0,115302.0
20190901,4.468,89498.0,85851.0
20190902,4.734,154360.0,148318.0
20190903,3.664,156468.0,149948.0
20190904,1.702,151141.0,145229.0
20190905,1.864,150245.0,144233.0
20190906,1.024,159454.0,152590.0
20190907,0.0,87577.0,83681.0
20190908,2.482,88012.0,83666.0
20190909,3.222,158052.0,150451.0
20190910,0.822,153047.0,147097.0
20190911,3.682,157435.0,148707.0
20190912,2.106,70545.0,64713.0
20190913,3.272,65934.0,63957.0
20190914,3.23,75755.0,74702.0
20190915,4.17,82768.0,80946.0
20190916,4.9,151311.0,145832.0
20190917,5.068,157029.0,150378.0
20190918,5.162,158636.0,151772.0
20190919,5.042,157500.0,150954.0
20190920,5.042,162700.0,155821.0
20190921,4.812,125870.0,119630.0
20190922,2.444,81424.0,77841.0
20190923,4.862,156567.0,149051.0
20190924,5.174,158336.0,151686.0
20190925,5.024,159161.0,151658.0
20190926,4.974,158458.0,151479.0
20190927,4.954,162863.0,155281.0
20190928,5.002,129375.0,122118.0
20190929,4.612,94117.0,89555.0
20190930,4.918,156668.0,149021.0
20191001,5.114,157465.0,150484.0
20191002,1.596,157516.0,150609.0
20191003,3.478,97778.0,94606.0
20191004,5.004,156025.0,148724.0
20191005,4.42,125652.0,118467.0
20191006,4.688,92105.0,88372.0
20191007,1.296,148769.0,141970.0
20191008,4.498,161428.0,153576.0
20191009,4.314,104970.0,100466.0
20191010,4.42,156263.0,149589.0
20191011,4.78,162113.0,154846.0
20191012,4.546,127822.0,121369.0
20191013,4.212,95150.0,91371.0
20191014,4.244,156005.0,149000.0
20191015,4.668,158442.0,151640.0
20191016,4.498,156144.0,149866.0
20191017,4.508,156980.0,149465.0
20191018,4.61,160571.0,153424.0
20191019,4.566,131102.0,123782.0
20191020,4.296,94287.0,90377.0
20191021,4.468,154902.0,147687.0
20191022,4.96,156758.0,149960.0
20191023,4.81,156181.0,149346.0
20191024,4.948,156767.0,150102.0
20191025,4.394,163136.0,155360.0
20191026,3.802,132289.0,124485.0
20191027,3.456,96675.0,93283.0
20191028,3.362,155833.0,148979.0
20191029,3.774,157563.0,151203.0
20191030,4.206,158951.0,152195.0
20191031,4.056,157556.0,149463.0
20191101,4.194,158827.0,151737.0
20191102,3.776,125986.0,119530.0
20191103,3.838,93540.0,89727.0
20191104,4.138,156542.0,149104.0
20191105,4.07,158805.0,152286.0
20191106,4.01,157841.0,151105.0
20191107,3.822,157547.0,150851.0
20191108,3.544,161574.0,153829.0
20191109,3.31,125871.0,118983.0
20191110,2.266,89367.0,86613.0
20191111,2.926,154177.0,147852.0
20191112,3.492,156663.0,150036.0
20191113,2.1,153406.0,147492.0
20191114,2.286,153786.0,147830.0
20191115,0.784,155038.0,149102.0
20191116,2.442,122964.0,116333.0
20191117,0.69,81666.0,79461.0
20191118,2.026,153668.0,147232.0
20191119,2.036,155128.0,149461.0
20191120,2.146,155482.0,149181.0
20191121,2.38,156194.0,149921.0
20191122,2.788,160053.0,153140.0
20191123,2.714,124526.0,117527.0
20191124,1.448,87964.0,85046.0
20191125,2.152,154880.0,148285.0
20191126,2.522,157863.0,151384.0
20191127,2.464,158651.0,151922.0
20191128,2.464,158242.0,151635.0
20191129,2.296,161896.0,154496.0
20191130,2.082,123824.0,117430.0
20191201,0.584,83648.0,80574.0
20191202,1.83,153591.0,147364.0
20191203,1.774,154428.0,148418.0
20191204,1.964,157840.0,151165.0
20191205,1.458,156152.0,150200.0
20191206,1.306,155898.0,149279.0
20191207,1.222,122973.0,116631.0
20191208,1.208,89491.0,85383.0
20191209,1.688,154175.0,147966.0
20191210,1.75,157617.0,151059.0
20191211,1.774,158376.0,152155.0
20191212,1.776,159176.0,153353.0
20191213,1.72,162997.0,155254.0
20191214,1.492,131202.0,124413.0
20191215,1.514,92276.0,89089.0
20191216,2.046,154557.0,148522.0
20191217,1.304,152351.0,145537.0
20191218,1.894,156821.0,150713.0
20191219,1.692,157403.0,150265.0
20191220,1.728,164591.0,157033.0
20191221,1.16,128930.0,122670.0
20191222,1.37,93817.0,89762.0
20191223,1.35,155413.0,148377.0
20191224,1.734,160821.0,153382.0
20191225,1.27,96087.0,92563.0
20191226,1.258,154092.0,147191.0
20191227,1.466,159358.0,150389.0
20191228,1.522,121197.0,114708.0
